Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [25/Oct/2021 12:40:54] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:40:54] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:40:54] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjF9.ZZLar_wKpxjbq2eU-Eq6w27FYeitWG24h8TtFOyS4sg&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:40:54] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:40:54] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjJ9.qjFdZiL4wJIfNP0hEXd2dVfmUmnIY8i5tMAEilvz9c0&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:40:54] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjN9.b6Z8C29Zh6o6wR1VmJbvgr-5JUv4cSULmHR9x0rMe64&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjR9.tgX4-RuyMWN80SMASzDGEQynhzakL1PlwVxHt66jnfM&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:02] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:09] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:09] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjN9.b6Z8C29Zh6o6wR1VmJbvgr-5JUv4cSULmHR9x0rMe64&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:09] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:41:09] "POST /auth/register/v2 HTTP/1.1" 200 -
